onset	duration	weight	trial_type	Resp	Word
0	0	1	AV_Quiet	NoRs	small
37.05	34.873	1	NULL	NA	NULL
39.52	2.301	1	AV_Quiet	NA	swim
41.99	2.453	1	AV_Quiet	NA	fire
44.46	2.452	1	AV_Quiet	Yes	fiber
49.4	4.722	1	NULL	NA	NULL
51.87	2.301	1	AV_Quiet	Yes	find
56.81	4.722	1	AV_n10_SNR	NA	arrive
59.28	2.448	1	AV_n10_SNR	NA	few
61.75	2.446	1	NULL	NA	NULL
64.22	2.301	1	AV_n10_SNR	Yes	shadow
69.16	4.722	1	AV_n10_SNR	NA	steer
71.63	2.456	1	AV_n10_SNR	Yes	ever
76.57	4.722	1	NULL	NA	NULL
79.04	2.301	1	AV_n5_SNR	Yes	stay
83.98	4.722	1	AV_n5_SNR	NA	worry
88.92	2.48	1	NULL	NA	NULL
91.39	2.301	1	AV_n5_SNR	Yes	sour
96.33	4.721	1	AV_n5_SNR	Yes	liar
101.27	4.722	1	AV_n5_SNR	NA	rear
103.74	2.446	1	NULL	NA	NULL
106.21	2.301	1	A_Quiet	Yes	same
111.15	4.722	1	A_Quiet	NA	ball
113.62	2.456	1	NULL	NA	NULL
116.09	2.301	1	A_Quiet	Yes	ring
121.03	4.722	1	A_Quiet	NA	area
123.5	2.451	1	NULL	NA	NULL
125.97	2.301	1	A_Quiet	NA	skill
128.44	2.447	1	AV_0_SNR	NA	pour
130.91	2.446	1	NULL	NA	NULL
133.38	2.301	1	AV_0_SNR	NA	mail
135.85	2.457	1	NULL	NA	NULL
138.32	2.301	1	AV_0_SNR	Yes	wolf
143.26	4.722	1	AV_0_SNR	Yes	ocean
148.2	4.722	1	AV_0_SNR	NA	okay
150.67	2.449	1	NULL	NA	NULL
153.14	2.301	1	AV_p5_SNR	Yes	loose
158.08	4.722	1	AV_p5_SNR	Yes	chief
163.02	4.722	1	AV_p5_SNR	NA	last
165.49	2.451	1	AV_p5_SNR	Yes	womb
170.43	4.722	1	NULL	NA	NULL
172.9	2.301	1	AV_p5_SNR	NA	shore
175.37	2.453	1	V_only_Quiet_InScanner	Yes	booth
180.31	4.722	1	V_only_Quiet_InScanner	No	fork
185.25	4.72	1	NULL	NA	NULL
187.72	2.301	1	V_only_Quiet_InScanner	Yes	trap
192.66	4.722	1	V_only_Quiet_InScanner	NA	long
195.13	2.449	1	V_only_Quiet_InScanner	NA	flesh
197.6	2.451	1	NULL	NA	NULL
200.07	2.301	1	AV_n10_SNR	No	atom
205.01	4.722	1	AV_n10_SNR	NA	bird
207.48	2.457	1	NULL	NA	NULL
209.95	2.301	1	AV_n10_SNR	Yes	staff
214.89	4.722	1	AV_n10_SNR	Yes	appear
219.83	4.722	1	NULL	NA	NULL
222.3	2.301	1	AV_n10_SNR	NA	elbow
224.77	2.463	1	AV_n5_SNR	NA	wipe
227.24	2.45	1	AV_n5_SNR	NA	heather
229.71	2.449	1	AV_n5_SNR	NA	waiver
232.18	0.802	1	NULL	NA	NULL
234.65	2.301	1	NULL	NA	NULL
237.12	2.301	1	AV_n5_SNR	Yes	base
242.06	4.722	1	AV_n5_SNR	Yes	cold
247	4.722	1	AV_0_SNR	NA	church
249.47	2.452	1	NULL	NA	NULL
251.94	2.301	1	AV_0_SNR	Yes	rail
256.88	4.722	1	NULL	NA	NULL
259.35	2.301	1	AV_0_SNR	Yes	through
264.29	4.722	1	AV_0_SNR	Yes	flop
269.23	4.723	1	AV_0_SNR	NA	spot
271.7	2.448	1	NULL	NA	NULL
274.17	2.301	1	A_Quiet	Yes	forge
279.11	4.722	1	A_Quiet	Yes	slow
284.05	4.722	1	A_Quiet	NA	thorn
286.52	2.447	1	NULL	NA	NULL
288.99	2.301	1	A_Quiet	Yes	while
293.93	4.722	1	A_Quiet	NA	four
296.4	2.445	1	NULL	NA	NULL
298.87	2.301	1	AV_p5_SNR	Yes	prove
303.81	4.722	1	AV_p5_SNR	Yes	beaver
308.75	4.723	1	NULL	NA	NULL
311.22	2.301	1	AV_p5_SNR	NA	matter
313.69	2.451	1	AV_p5_SNR	NA	color
316.16	2.449	1	AV_p5_SNR	NA	thief
318.63	2.449	1	V_only_Quiet_InScanner	Yes	block
323.57	4.722	1	NULL	NA	NULL
326.04	2.301	1	V_only_Quiet_InScanner	NA	flat
328.51	2.45	1	V_only_Quiet_InScanner	Yes	shallow
333.45	4.722	1	V_only_Quiet_InScanner	NA	rely
335.92	2.449	1	V_only_Quiet_InScanner	NA	safe
338.39	2.454	1	NULL	NA	NULL
340.86	2.301	1	AV_Quiet	NA	sure
343.33	2.451	1	AV_Quiet	NA	style
345.8	2.451	1	NULL	NA	NULL
348.27	2.301	1	AV_Quiet	Yes	smile
353.21	4.722	1	NULL	NA	NULL
355.68	2.301	1	AV_Quiet	Yes	fry
360.62	4.722	1	AV_Quiet	NA	moon
