onset	duration	weight	trial_type	Resp	Word
0	0	1	AV_0_SNR	NA	below
2.47	2.457	1	AV_0_SNR	Yes	arrow
7.41	4.722	1	NULL	NA	NULL
9.88	2.301	1	AV_0_SNR	NA	march
12.35	2.458	1	NULL	NA	NULL
14.82	2.301	1	AV_0_SNR	Yes	enough
19.76	4.723	1	AV_0_SNR	NA	baby
22.23	2.449	1	NULL	NA	NULL
24.7	2.301	1	AV_n5_SNR	NA	feather
27.17	2.453	1	NULL	NA	NULL
29.64	2.301	1	AV_n5_SNR	Yes	phone
34.58	4.722	1	AV_n5_SNR	Yes	boot
39.52	4.722	1	AV_n5_SNR	NA	freeze
41.99	2.454	1	AV_n5_SNR	Yes	breath
46.93	4.722	1	AV_n10_SNR	NA	ranch
49.4	2.439	1	AV_n10_SNR	No	free
54.34	4.722	1	NULL	NA	NULL
56.81	2.301	1	AV_n10_SNR	NA	help
59.28	2.454	1	AV_n10_SNR	NA	boss
61.75	2.45	1	NULL	NA	NULL
64.22	2.301	1	AV_n10_SNR	Yes	film
69.16	4.722	1	NULL	NA	NULL
71.63	2.301	1	AV_Quiet	Yes	thirty
76.57	4.722	1	AV_Quiet	NA	apply
79.04	2.442	1	AV_Quiet	Yes	chalk
83.98	4.722	1	NULL	NA	NULL
86.45	2.301	1	AV_Quiet	Yes	rope
91.39	4.723	1	AV_Quiet	NA	health
93.86	2.451	1	NULL	NA	NULL
96.33	2.301	1	V_only_Quiet_InScanner	Yes	later
101.27	4.722	1	V_only_Quiet_InScanner	NA	faith
103.74	2.456	1	V_only_Quiet_InScanner	NA	oven
106.21	2.446	1	V_only_Quiet_InScanner	Yes	month
111.15	4.722	1	NULL	NA	NULL
113.62	2.301	1	V_only_Quiet_InScanner	No	thermal
118.56	4.722	1	NULL	NA	NULL
121.03	2.301	1	A_Quiet	NA	lion
123.5	2.449	1	A_Quiet	NA	fish
125.97	2.453	1	NULL	NA	NULL
128.44	2.301	1	A_Quiet	Yes	forth
133.38	4.722	1	A_Quiet	NA	action
135.85	2.456	1	A_Quiet	Yes	soft
140.79	4.722	1	AV_p5_SNR	NA	rose
143.26	2.455	1	NULL	NA	NULL
145.73	2.301	1	AV_p5_SNR	NA	affair
148.2	2.449	1	NULL	NA	NULL
150.67	2.301	1	AV_p5_SNR	Yes	lair
155.61	4.722	1	AV_p5_SNR	Yes	worth
160.55	4.722	1	AV_p5_SNR	Yes	blob
165.49	4.722	1	AV_n5_SNR	Yes	yellow
170.43	4.722	1	NULL	NA	NULL
172.9	2.301	1	AV_n5_SNR	NA	above
175.37	2.439	1	NULL	NA	NULL
177.84	2.301	1	AV_n5_SNR	NA	course
180.31	2.452	1	AV_n5_SNR	Yes	stuff
185.25	4.722	1	AV_n5_SNR	NA	feel
187.72	2.453	1	AV_n10_SNR	Yes	order
195.13	7.193	1	AV_n10_SNR	Yes	arm
200.07	4.722	1	NULL	NA	NULL
202.54	2.301	1	AV_n10_SNR	NA	bus
205.01	2.447	1	AV_n10_SNR	NA	harm
207.48	2.453	1	NULL	NA	NULL
209.95	2.301	1	AV_n10_SNR	Yes	flew
217.36	7.192	1	AV_Quiet	Yes	allow
224.77	7.192	1	NULL	NA	NULL
227.24	2.301	1	AV_Quiet	NA	flour
229.71	2.448	1	AV_Quiet	NA	spear
232.18	2.456	1	AV_Quiet	NA	hope
234.65	2.44	1	NULL	NA	NULL
237.12	2.301	1	AV_Quiet	Yes	jump
247	4.722	1	NULL	NA	NULL
249.47	2.301	1	NULL	NA	NULL
251.94	2.301	1	V_only_Quiet_InScanner	NA	wild
254.41	2.448	1	V_only_Quiet_InScanner	Yes	awesome
259.35	4.722	1	V_only_Quiet_InScanner	NA	word
261.82	2.458	1	V_only_Quiet_InScanner	NA	time
264.29	2.45	1	NULL	NA	NULL
266.76	2.301	1	AV_p5_SNR	NA	fashion
269.23	2.454	1	AV_p5_SNR	NA	shelf
271.7	2.437	1	AV_p5_SNR	NA	pain
274.17	2.452	1	NULL	NA	NULL
276.64	2.301	1	AV_p5_SNR	Yes	still
281.58	4.723	1	AV_p5_SNR	Yes	half
286.52	4.722	1	A_Quiet	NA	miss
288.99	2.45	1	A_Quiet	Yes	decay
293.93	4.722	1	NULL	NA	NULL
296.4	2.301	1	A_Quiet	Yes	call
301.34	4.722	1	A_Quiet	Yes	echo
306.28	4.722	1	NULL	NA	NULL
308.75	2.301	1	A_Quiet	NA	run
311.22	2.453	1	AV_0_SNR	Yes	evil
316.16	4.722	1	NULL	NA	NULL
318.63	2.301	1	AV_0_SNR	Yes	list
323.57	4.722	1	AV_0_SNR	NA	smash
326.04	2.449	1	AV_0_SNR	Yes	label
330.98	4.723	1	AV_0_SNR	NA	page
333.45	2.455	1	NULL	NA	NULL
